<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.19	08:00:00	2420.04	2422.28	2393.88	2398.05	64972	0	0
2024.07.19	16:00:00	2398.05	2408.47	2395.74	2400.69	28217	0	4
2024.07.21	16:00:00	2403.75	2411.73	2402.57	2411.42	2539	0	0
2024.07.22	00:00:00	2411.38	2412.19	2399.09	2402.53	44462	0	0
2024.07.22	08:00:00	2402.56	2408.45	2383.89	2387.26	57200	0	0
2024.07.22	16:00:00	2387.26	2400.09	2384.33	2395.24	25078	0	1
2024.07.23	00:00:00	2395.24	2404.03	2388.33	2390.50	42848	0	2
2024.07.23	08:00:00	2390.45	2412.06	2390.06	2403.03	57292	0	3
2024.07.23	16:00:00	2403.02	2410.03	2402.18	2409.45	24185	0	1
2024.07.24	00:00:00	2409.42	2419.24	2405.06	2417.58	42883	0	3
2024.07.24	08:00:00	2417.57	2432.03	2409.87	2430.34	57878	0	0
2024.07.24	16:00:00	2430.40	2431.41	2393.12	2397.91	38411	0	1
2024.07.25	00:00:00	2397.91	2401.26	2366.88	2372.10	63459	0	0
2024.07.25	08:00:00	2372.11	2382.57	2358.09	2366.72	74247	0	0
2024.07.25	16:00:00	2366.71	2368.46	2353.22	2363.36	39632	0	0
2024.07.26	00:00:00	2363.35	2379.50	2355.89	2369.71	49799	0	3
2024.07.26	08:00:00	2369.71	2390.82	2367.74	2382.00	58690	0	0
2024.07.26	16:00:00	2381.98	2390.42	2380.04	2387.10	28973	0	0
2024.07.28	16:00:00	2387.99	2403.22	2387.94	2395.84	4456	0	2
2024.07.29	00:00:00	2395.84	2402.56	2388.77	2391.80	51347	0	1
2024.07.29	08:00:00	2391.81	2396.79	2380.16	2381.42	57075	0	0
2024.07.29	16:00:00	2381.28	2385.47	2369.76	2384.12	34506	0	3
2024.07.30	00:00:00	2384.12	2391.06	2376.59	2390.37	41695	0	1
2024.07.30	08:00:00	2390.39	2397.80	2385.78	2391.74	53518	0	0
2024.07.30	16:00:00	2391.69	2412.75	2383.48	2409.26	41556	0	0
2024.07.31	00:00:00	2409.26	2425.55	2403.70	2421.41	50338	0	1
2024.07.31	08:00:00	2421.39	2429.05	2415.46	2422.58	61913	0	0
2024.07.31	16:00:00	2422.54	2450.95	2420.13	2447.66	47981	0	1
2024.08.01	00:00:00	2447.66	2458.41	2437.40	2444.81	57590	0	1
2024.08.01	08:00:00	2444.83	2462.33	2430.29	2448.74	70769	0	2
2024.08.01	16:00:00	2448.68	2451.80	2435.00	2445.23	49768	0	1
2024.08.02	00:00:00	2445.23	2468.51	2435.06	2465.59	56964	0	2
2024.08.02	08:00:00	2465.63	2477.54	2428.50	2431.67	76599	0	0
2024.08.02	16:00:00	2431.85	2442.44	2411.07	2441.84	49760	0	0
2024.08.04	16:00:00	2440.18	2446.37	2437.68	2441.46	4496	0	2
2024.08.05	00:00:00	2441.49	2458.83	2414.11	2428.69	80521	0	0
2024.08.05	08:00:00	2428.68	2445.56	2364.37	2396.66	99056	0	0
2024.08.05	16:00:00	2396.60	2413.08	2396.53	2409.01	60528	0	1
2024.08.06	00:00:00	2409.03	2418.41	2394.91	2401.65	67428	0	1
2024.08.06	08:00:00	2401.65	2416.37	2386.42	2388.42	75740	0	1
2024.08.06	16:00:00	2388.42	2396.05	2381.84	2388.69	47223	0	1
